Subscription.Type,Monthly.Revenue,Days.Joined,Last.Payment.Date,Country,Age,Gender,Device,Plan.Duration
Standard,10,1751,2/7/2023,United Kingdom,27,Male,Smart TV,1 Month
Basic,10,531,3/7/2023,Australia,51,Female,Smartphone,1 Month
Standard,13,348,3/7/2023,Germany,41,Female,Laptop,1 Month
Premium,15,1422,4/7/2023,France,28,Female,Tablet,1 Month
Basic,12,905,1/7/2023,Brazil,42,Male,Laptop,1 Month
Standard,13,995,3/7/2023,Mexico,40,Male,Laptop,1 Month
Premium,12,942,4/7/2023,Spain,48,Female,Smartphone,1 Month
Basic,13,1070,3/7/2023,Italy,28,Male,Smart TV,1 Month
Premium,15,2029,1/7/2023,Spain,40,Male,Smart TV,1 Month
Basic,15,684,3/7/2023,Spain,33,Female,Tablet,1 Month
Standard,12,1021,3/7/2023,United States,33,Male,Smartphone,1 Month
Standard,15,648,3/7/2023,Canada,47,Female,Smartphone,1 Month
Basic,13,1513,1/7/2023,United States,50,Female,Smart TV,1 Month
Premium,15,1626,3/7/2023,United States,38,Male,Smartphone,1 Month
Basic,15,167,4/7/2023,Canada,36,Female,Tablet,1 Month
Standard,15,1687,3/7/2023,United Kingdom,38,Female,Tablet,1 Month
Premium,12,1249,1/7/2023,Australia,49,Male,Smartphone,1 Month
Basic,12,1435,3/7/2023,Germany,40,Female,Smart TV,1 Month
Premium,13,1153,3/7/2023,France,51,Male,Tablet,1 Month
Basic,11,569,3/7/2023,Brazil,42,Female,Smartphone,1 Month
Standard,13,1928,3/7/2023,Mexico,41,Female,Smartphone,1 Month
Standard,12,523,3/7/2023,Spain,48,Female,Smartphone,1 Month
Basic,13,1973,3/7/2023,Italy,39,Female,Tablet,1 Month
Premium,15,138,2/7/2023,Spain,35,Female,Tablet,1 Month
Basic,11,834,2/7/2023,Spain,32,Female,Tablet,1 Month
Standard,12,1006,4/7/2023,United States,28,Female,Smartphone,1 Month
Premium,11,976,2/7/2023,Canada,27,Male,Laptop,1 Month
Basic,11,1250,4/7/2023,United States,30,Female,Laptop,1 Month
Premium,14,1988,2/7/2023,United States,47,Female,Laptop,1 Month
Basic,14,1291,5/7/2023,Canada,49,Female,Tablet,1 Month
Standard,14,1172,2/7/2023,United Kingdom,43,Female,Smartphone,1 Month
Standard,12,254,4/7/2023,Australia,42,Male,Tablet,1 Month
Basic,14,1375,3/7/2023,Germany,29,Female,Smartphone,1 Month
Premium,15,1513,5/7/2023,France,35,Female,Smartphone,1 Month
Basic,13,1079,2/7/2023,Brazil,41,Female,Smartphone,1 Month
Standard,13,1221,5/7/2023,Mexico,47,Female,Smart TV,1 Month
Premium,14,1786,3/7/2023,Spain,28,Female,Smart TV,1 Month
Basic,10,1028,4/7/2023,Italy,44,Female,Smartphone,1 Month
Premium,10,1449,3/7/2023,Spain,28,Female,Tablet,1 Month
Basic,11,1530,5/7/2023,Spain,51,Male,Laptop,1 Month
Standard,11,429,2/7/2023,United States,48,Male,Laptop,1 Month
Standard,14,700,4/7/2023,Canada,49,Female,Tablet,1 Month
Basic,10,2151,4/7/2023,United States,50,Male,Smart TV,1 Month
Premium,13,195,5/7/2023,United States,43,Male,Laptop,1 Month
Basic,14,713,1/7/2023,Canada,32,Male,Smart TV,1 Month
Standard,15,275,3/7/2023,United Kingdom,42,Female,Tablet,1 Month
Premium,13,2089,3/7/2023,Australia,41,Female,Laptop,1 Month
Basic,11,1443,4/7/2023,Germany,31,Male,Laptop,1 Month
Premium,11,1846,2/7/2023,France,37,Female,Smart TV,1 Month
Basic,12,367,3/7/2023,Brazil,46,Male,Smart TV,1 Month
Standard,14,2102,3/7/2023,Mexico,30,Female,Tablet,1 Month
Standard,11,520,5/7/2023,Spain,30,Female,Smart TV,1 Month
Basic,10,2146,3/7/2023,Italy,34,Female,Tablet,1 Month
Premium,15,752,4/7/2023,Spain,47,Female,Laptop,1 Month
Basic,14,355,3/7/2023,Spain,41,Male,Tablet,1 Month
Standard,13,1317,4/7/2023,United States,42,Female,Laptop,1 Month
Premium,12,597,5/7/2023,Canada,48,Female,Smartphone,1 Month
Basic,11,181,6/7/2023,United States,30,Female,Smart TV,1 Month
Basic,13,447,3/7/2023,United States,51,Male,Smartphone,1 Month
Basic,13,987,4/7/2023,Canada,27,Male,Smartphone,1 Month
Standard,13,2130,4/7/2023,United Kingdom,38,Male,Tablet,1 Month
Premium,12,756,5/7/2023,Australia,29,Female,Smart TV,1 Month
Basic,11,852,3/7/2023,Germany,40,Female,Smartphone,1 Month
Basic,12,453,4/7/2023,France,31,Female,Laptop,1 Month
Premium,11,1371,4/7/2023,Brazil,30,Male,Smartphone,1 Month
Standard,13,905,5/7/2023,Mexico,44,Male,Laptop,1 Month
Standard,14,1381,3/7/2023,Spain,34,Female,Tablet,1 Month
Basic,14,809,4/7/2023,Italy,28,Female,Laptop,1 Month
Premium,13,555,4/7/2023,Spain,41,Female,Laptop,1 Month
Standard,12,592,5/7/2023,Spain,43,Male,Tablet,1 Month
Basic,10,1663,2/7/2023,United States,33,Male,Laptop,1 Month
Standard,12,268,3/7/2023,Canada,32,Female,Tablet,1 Month
Premium,10,592,4/7/2023,United States,39,Male,Smart TV,1 Month
Basic,15,716,4/7/2023,United States,37,Male,Laptop,1 Month
Premium,11,1414,2/7/2023,Canada,46,Male,Tablet,1 Month
Standard,11,782,3/7/2023,United Kingdom,39,Male,Smartphone,1 Month
Basic,12,964,4/7/2023,Australia,46,Female,Tablet,1 Month
Standard,13,333,3/7/2023,Germany,43,Male,Laptop,1 Month
Premium,10,1450,2/7/2023,France,32,Female,Laptop,1 Month
Basic,12,1546,4/7/2023,Brazil,30,Female,Smart TV,1 Month
Standard,11,1125,4/7/2023,Mexico,40,Female,Tablet,1 Month
Premium,11,803,4/7/2023,Spain,51,Female,Smartphone,1 Month
Basic,10,1478,2/7/2023,Italy,40,Female,Smartphone,1 Month
Premium,12,197,3/7/2023,Spain,28,Male,Smart TV,1 Month
Basic,14,738,4/7/2023,Spain,51,Female,Smartphone,1 Month
Standard,14,1780,3/7/2023,United States,27,Male,Laptop,1 Month
Standard,14,1381,1/7/2023,Canada,35,Male,Smart TV,1 Month
Basic,11,154,3/7/2023,United States,37,Male,Laptop,1 Month
Premium,14,1228,4/7/2023,United States,51,Male,Smart TV,1 Month
Basic,11,1528,3/7/2023,Canada,40,Male,Smart TV,1 Month
Standard,14,409,3/7/2023,United Kingdom,38,Male,Laptop,1 Month
Premium,11,631,3/7/2023,Australia,48,Female,Laptop,1 Month
Basic,11,777,3/7/2023,Germany,49,Male,Smartphone,1 Month
Premium,15,1233,5/7/2023,France,33,Female,Laptop,1 Month
Basic,10,551,3/7/2023,Brazil,34,Female,Tablet,1 Month
Standard,15,1087,6/7/2023,Mexico,39,Male,Tablet,1 Month
Standard,13,388,2/7/2023,Spain,37,Female,Tablet,1 Month
Basic,15,1704,5/7/2023,Italy,44,Male,Laptop,1 Month
Premium,15,792,4/7/2023,Spain,35,Male,Tablet,1 Month
Basic,11,1457,6/7/2023,Spain,31,Female,Laptop,1 Month
Standard,10,782,2/7/2023,United States,39,Male,Smart TV,1 Month
Premium,13,1559,5/7/2023,Canada,38,Male,Tablet,1 Month
Basic,11,590,3/7/2023,United States,42,Male,Smartphone,1 Month
Premium,12,1951,5/7/2023,United States,48,Female,Tablet,1 Month
Basic,11,252,3/7/2023,Canada,31,Male,Tablet,1 Month
Standard,11,1619,5/7/2023,United Kingdom,42,Male,Smartphone,1 Month
Standard,14,1666,3/7/2023,Australia,35,Male,Smartphone,1 Month
Basic,10,734,5/7/2023,Germany,39,Male,Laptop,1 Month
Premium,13,710,4/7/2023,France,50,Female,Tablet,1 Month
Basic,11,1208,6/7/2023,Brazil,40,Male,Smartphone,1 Month
Standard,10,649,2/7/2023,Mexico,29,Male,Smartphone,1 Month
Premium,10,1118,4/7/2023,Spain,48,Female,Smart TV,1 Month
Basic,15,365,4/7/2023,Italy,34,Male,Smartphone,1 Month
Premium,10,1727,5/7/2023,Spain,48,Male,Smartphone,1 Month
Basic,12,661,2/7/2023,Spain,48,Male,Laptop,1 Month
Standard,12,216,4/7/2023,United States,35,Female,Tablet,1 Month
Standard,11,1177,4/7/2023,Canada,29,Male,Laptop,1 Month
Basic,14,168,5/7/2023,United States,47,Female,Smart TV,1 Month
Premium,12,1686,2/7/2023,United States,36,Male,Smartphone,1 Month
Basic,12,378,4/7/2023,Canada,40,Female,Smartphone,1 Month
Standard,14,368,4/7/2023,United Kingdom,51,Male,Tablet,1 Month
Premium,12,1428,5/7/2023,Australia,37,Male,Smart TV,1 Month
Basic,12,2088,6/7/2023,Germany,36,Male,Tablet,1 Month
Premium,12,1233,4/7/2023,France,45,Male,Tablet,1 Month
Basic,11,431,4/7/2023,Brazil,31,Female,Tablet,1 Month
Standard,14,295,4/7/2023,Mexico,45,Female,Laptop,1 Month
Standard,11,784,5/7/2023,Spain,30,Male,Laptop,1 Month
Basic,14,635,6/7/2023,Italy,40,Female,Smartphone,1 Month
Premium,14,235,4/7/2023,Spain,44,Female,Smart TV,1 Month
Basic,12,1911,5/7/2023,Spain,36,Female,Laptop,1 Month
Standard,10,1307,5/7/2023,United States,36,Male,Tablet,1 Month
Premium,11,1747,5/7/2023,Canada,32,Female,Smartphone,1 Month
Basic,10,1574,3/7/2023,United States,46,Male,Smart TV,1 Month
Basic,12,1336,4/7/2023,United States,39,Female,Smart TV,1 Month
Basic,13,1493,4/7/2023,Canada,30,Male,Smart TV,1 Month
Standard,13,1833,5/7/2023,United Kingdom,34,Male,Laptop,1 Month
Premium,14,1064,3/7/2023,Australia,28,Male,Laptop,1 Month
Basic,13,575,4/7/2023,Germany,39,Female,Smartphone,1 Month
Basic,12,1632,5/7/2023,France,34,Female,Laptop,1 Month
Premium,13,2184,5/7/2023,Brazil,42,Male,Laptop,1 Month
Standard,13,846,2/7/2023,Mexico,29,Female,Tablet,1 Month
Standard,13,171,4/7/2023,Spain,29,Male,Tablet,1 Month
Basic,12,2180,4/7/2023,Italy,30,Male,Tablet,1 Month
Premium,11,201,4/7/2023,Spain,51,Male,Smartphone,1 Month
Standard,11,1175,2/7/2023,Spain,51,Male,Smart TV,1 Month
Basic,13,1846,4/7/2023,United States,44,Male,Tablet,1 Month
Standard,13,1441,5/7/2023,Canada,35,Male,Laptop,1 Month
Premium,10,611,4/7/2023,United States,39,Male,Smart TV,1 Month
Basic,12,1834,2/7/2023,United States,41,Female,Laptop,1 Month
Premium,13,1269,4/7/2023,Canada,44,Female,Laptop,1 Month
Standard,11,1719,5/7/2023,United Kingdom,29,Male,Laptop,1 Month
Basic,14,900,4/7/2023,Australia,47,Male,Tablet,1 Month
Standard,10,1607,2/7/2023,Germany,28,Female,Smartphone,1 Month
Premium,15,192,4/7/2023,France,45,Male,Laptop,1 Month
Basic,11,63,4/7/2023,Brazil,28,Female,Smartphone,1 Month
Standard,14,1738,3/7/2023,Mexico,31,Female,Laptop,1 Month
Premium,13,427,3/7/2023,Spain,47,Female,Laptop,1 Month
Basic,13,1174,4/7/2023,Italy,42,Female,Tablet,1 Month
Premium,14,628,4/7/2023,Spain,34,Female,Laptop,1 Month
Basic,12,942,5/7/2023,Spain,40,Female,Laptop,1 Month
Standard,13,128,4/7/2023,United States,42,Female,Laptop,1 Month
Standard,14,1595,7/7/2023,Canada,33,Male,Smart TV,1 Month
Basic,12,421,3/7/2023,United States,30,Male,Laptop,1 Month
Premium,14,1794,5/7/2023,United States,29,Male,Tablet,1 Month
Basic,13,1130,4/7/2023,Canada,31,Male,Smart TV,1 Month
Standard,14,1766,6/7/2023,United Kingdom,46,Female,Smart TV,1 Month
Premium,11,429,3/7/2023,Australia,46,Female,Smartphone,1 Month
Basic,11,1413,5/7/2023,Germany,47,Male,Laptop,1 Month
Premium,12,1922,4/7/2023,France,48,Female,Smart TV,1 Month
Basic,13,416,6/7/2023,Brazil,32,Female,Smart TV,1 Month
Standard,13,723,4/7/2023,Mexico,51,Female,Tablet,1 Month
Standard,13,1458,5/7/2023,Spain,33,Male,Smart TV,1 Month
Basic,15,176,4/7/2023,Italy,43,Male,Smartphone,1 Month
Premium,14,546,6/7/2023,Spain,43,Female,Smart TV,1 Month
Basic,13,1236,4/7/2023,Spain,42,Male,Smart TV,1 Month
Standard,15,462,5/7/2023,United States,30,Male,Smartphone,1 Month
Premium,13,378,3/7/2023,Canada,50,Male,Smartphone,1 Month
Basic,11,1432,5/7/2023,United States,51,Female,Laptop,1 Month
Premium,14,2131,4/7/2023,United States,36,Female,Tablet,1 Month
Basic,13,1138,6/7/2023,Canada,41,Female,Tablet,1 Month
Standard,10,737,3/7/2023,United Kingdom,37,Male,Smart TV,1 Month
Standard,11,823,4/7/2023,Australia,30,Female,Tablet,1 Month
Basic,11,1422,4/7/2023,Germany,50,Female,Tablet,1 Month
Premium,14,1429,5/7/2023,France,41,Female,Smart TV,1 Month
Basic,14,550,3/7/2023,Brazil,29,Female,Laptop,1 Month
Standard,12,820,4/7/2023,Mexico,43,Male,Smart TV,1 Month
Premium,12,511,4/7/2023,Spain,31,Female,Smart TV,1 Month
Basic,14,1835,6/7/2023,Italy,40,Male,Laptop,1 Month
Premium,12,574,5/7/2023,Spain,35,Female,Smart TV,1 Month
Basic,13,171,4/7/2023,Spain,39,Female,Laptop,1 Month
Standard,14,837,5/7/2023,United States,48,Male,Laptop,1 Month
Standard,14,1681,5/7/2023,Canada,42,Female,Tablet,1 Month
Basic,11,829,6/7/2023,United States,48,Female,Smart TV,1 Month
Premium,10,625,7/7/2023,United States,33,Female,Smart TV,1 Month
Basic,14,2063,4/7/2023,Canada,45,Female,Smart TV,1 Month
Standard,14,549,4/7/2023,United Kingdom,40,Female,Smart TV,1 Month
Premium,15,1615,6/7/2023,Australia,38,Male,Tablet,1 Month
Basic,14,454,6/7/2023,Germany,31,Female,Tablet,1 Month
Premium,14,1264,4/7/2023,France,33,Female,Smart TV,1 Month
Basic,15,2096,5/7/2023,Brazil,27,Male,Laptop,1 Month
Standard,13,1235,5/7/2023,Mexico,47,Male,Smartphone,1 Month
Standard,15,1539,6/7/2023,Spain,41,Male,Tablet,1 Month
Basic,11,1093,3/7/2023,Italy,32,Female,Smart TV,1 Month
Premium,11,1640,5/7/2023,Spain,31,Male,Smart TV,1 Month
Basic,13,1476,5/7/2023,Spain,43,Female,Tablet,1 Month
Standard,15,1696,5/7/2023,United States,42,Female,Smart TV,1 Month
Premium,15,1314,3/7/2023,Canada,46,Male,Smartphone,1 Month
Basic,12,836,4/7/2023,United States,27,Female,Smartphone,1 Month
Basic,15,1425,5/7/2023,United States,48,Female,Smart TV,1 Month
Basic,15,870,5/7/2023,Canada,49,Male,Laptop,1 Month
Standard,12,1944,3/7/2023,United Kingdom,43,Male,Smart TV,1 Month
Premium,14,1709,4/7/2023,Australia,38,Male,Laptop,1 Month
Basic,13,504,5/7/2023,Germany,37,Male,Smartphone,1 Month
Basic,12,538,4/7/2023,France,39,Female,Smart TV,1 Month
Premium,10,1184,3/7/2023,Brazil,40,Male,Tablet,1 Month
Standard,12,1137,5/7/2023,Mexico,40,Male,Smart TV,1 Month
Standard,12,229,6/7/2023,Spain,48,Male,Laptop,1 Month
Basic,13,574,5/7/2023,Italy,43,Female,Smart TV,1 Month
Premium,10,578,2/7/2023,Spain,46,Male,Laptop,1 Month
Standard,11,2065,5/7/2023,Spain,43,Male,Smartphone,1 Month
Basic,10,806,5/7/2023,United States,30,Female,Tablet,1 Month
Standard,13,1557,4/7/2023,Canada,51,Female,Laptop,1 Month
Premium,12,358,3/7/2023,United States,30,Male,Smartphone,1 Month
Basic,14,66,4/7/2023,United States,47,Female,Smart TV,1 Month
Premium,13,1421,4/7/2023,Canada,41,Male,Laptop,1 Month
Standard,10,203,5/7/2023,United Kingdom,45,Female,Smartphone,1 Month
Basic,14,1198,4/7/2023,Australia,47,Female,Laptop,1 Month
Standard,11,1413,5/7/2023,Germany,48,Female,Smart TV,1 Month
Premium,11,1523,4/7/2023,France,51,Female,Tablet,1 Month
Basic,10,476,6/7/2023,Brazil,29,Male,Smart TV,1 Month
Standard,13,982,5/7/2023,Mexico,43,Female,Laptop,1 Month
Premium,13,1233,7/7/2023,Spain,49,Female,Tablet,1 Month
Basic,11,1628,3/7/2023,Italy,37,Male,Smartphone,1 Month
Premium,13,922,5/7/2023,Spain,48,Male,Tablet,1 Month
Basic,11,103,5/7/2023,Spain,36,Female,Tablet,1 Month
Standard,14,1976,7/7/2023,United States,33,Female,Laptop,1 Month
Standard,14,1363,4/7/2023,Canada,38,Female,Laptop,1 Month
Basic,12,1032,6/7/2023,United States,42,Female,Smartphone,1 Month
Premium,15,2011,5/7/2023,United States,30,Female,Tablet,1 Month
Basic,10,415,6/7/2023,Canada,39,Male,Smart TV,1 Month
Standard,14,2038,4/7/2023,United Kingdom,36,Male,Smartphone,1 Month
Premium,11,1743,6/7/2023,Australia,27,Female,Smartphone,1 Month
Basic,11,791,4/7/2023,Germany,49,Male,Smart TV,1 Month
Premium,14,841,6/7/2023,France,31,Male,Laptop,1 Month
Basic,10,2088,5/7/2023,Brazil,36,Male,Laptop,1 Month
Standard,14,1294,6/7/2023,Mexico,41,Female,Tablet,1 Month
Standard,10,533,4/7/2023,Spain,45,Female,Laptop,1 Month
Basic,14,167,5/7/2023,Italy,45,Male,Smart TV,1 Month
Premium,11,1285,5/7/2023,Spain,32,Male,Smart TV,1 Month
Basic,13,1147,6/7/2023,Spain,41,Female,Smartphone,1 Month
Standard,11,1395,3/7/2023,United States,37,Male,Smart TV,1 Month
Premium,10,748,5/7/2023,Canada,27,Male,Laptop,1 Month
Basic,14,1723,4/7/2023,United States,41,Male,Laptop,1 Month
Premium,13,1614,6/7/2023,United States,30,Female,Smart TV,1 Month
Basic,12,935,4/7/2023,Canada,43,Male,Smartphone,1 Month
Standard,12,1630,5/7/2023,United Kingdom,51,Male,Laptop,1 Month
Standard,12,628,4/7/2023,Australia,46,Female,Smart TV,1 Month
Basic,10,592,6/7/2023,Germany,27,Female,Tablet,1 Month
Premium,10,1663,6/7/2023,France,51,Female,Smartphone,1 Month
Basic,14,982,6/7/2023,Brazil,28,Female,Laptop,1 Month
Standard,14,1030,5/7/2023,Mexico,33,Male,Smartphone,1 Month
Premium,12,1868,5/7/2023,Spain,31,Female,Laptop,1 Month
Basic,13,1511,6/7/2023,Italy,47,Male,Laptop,1 Month
Premium,10,763,7/7/2023,Spain,45,Female,Tablet,1 Month
Basic,13,1437,5/7/2023,Spain,42,Male,Smart TV,1 Month
Standard,15,1899,6/7/2023,United States,47,Female,Smart TV,1 Month
Standard,12,589,6/7/2023,Canada,29,Female,Smart TV,1 Month
Basic,13,1571,7/7/2023,United States,49,Female,Laptop,1 Month
Premium,14,1651,4/7/2023,United States,41,Female,Laptop,1 Month
Basic,13,1916,5/7/2023,Canada,45,Male,Smartphone,1 Month
Standard,14,1212,6/7/2023,United Kingdom,49,Male,Smart TV,1 Month
Premium,13,1986,6/7/2023,Australia,41,Male,Smart TV,1 Month
Basic,15,66,4/7/2023,Germany,37,Male,Laptop,1 Month
Premium,14,334,5/7/2023,France,31,Male,Smartphone,1 Month
Basic,13,2056,5/7/2023,Brazil,29,Male,Smartphone,1 Month
Standard,10,2177,5/7/2023,Mexico,51,Female,Smart TV,1 Month
Standard,12,84,3/7/2023,Spain,33,Male,Smart TV,1 Month
Basic,12,1827,4/7/2023,Italy,31,Male,Smartphone,1 Month
Premium,11,116,5/7/2023,Spain,42,Female,Laptop,1 Month
Basic,15,1949,5/7/2023,Spain,48,Female,Laptop,1 Month
Standard,13,1529,3/7/2023,United States,37,Female,Laptop,1 Month
Premium,13,1778,6/7/2023,Canada,51,Female,Smartphone,1 Month
Basic,12,1673,6/7/2023,United States,29,Female,Tablet,1 Month
Basic,13,1716,5/7/2023,United States,46,Male,Tablet,1 Month
Basic,15,2067,3/7/2023,Canada,35,Male,Smart TV,1 Month
Standard,15,1933,5/7/2023,United Kingdom,44,Female,Smartphone,1 Month
Premium,12,1550,6/7/2023,Australia,36,Male,Smart TV,1 Month
Basic,14,1620,5/7/2023,Germany,38,Female,Tablet,1 Month
Basic,12,566,3/7/2023,France,36,Male,Smart TV,1 Month
Premium,14,819,5/7/2023,Brazil,40,Female,Laptop,1 Month
Standard,10,1066,5/7/2023,Mexico,29,Male,Laptop,1 Month
Standard,11,260,6/7/2023,Spain,32,Male,Smart TV,1 Month
Basic,12,1626,5/7/2023,Italy,30,Male,Laptop,1 Month
Premium,10,531,5/7/2023,Spain,47,Male,Smartphone,1 Month
Standard,15,927,4/7/2023,Spain,28,Female,Tablet,1 Month
Basic,11,742,5/7/2023,United States,49,Male,Laptop,1 Month
Standard,12,63,4/7/2023,Canada,50,Male,Smartphone,1 Month
Premium,11,326,7/7/2023,United States,33,Male,Smart TV,1 Month
Basic,13,2042,4/7/2023,United States,50,Male,Smart TV,1 Month
Premium,10,488,6/7/2023,Canada,28,Female,Smart TV,1 Month
Standard,12,986,6/7/2023,United Kingdom,41,Male,Smartphone,1 Month
Basic,12,777,7/7/2023,Australia,30,Female,Smartphone,1 Month
Standard,10,1941,4/7/2023,Germany,32,Male,Smart TV,1 Month
Premium,15,182,7/7/2023,France,50,Male,Laptop,1 Month
Basic,11,991,5/7/2023,Brazil,28,Female,Smart TV,1 Month
Standard,13,1723,7/7/2023,Mexico,45,Male,Smart TV,1 Month
Premium,14,2143,5/7/2023,Spain,31,Male,Tablet,1 Month
Basic,11,1478,6/7/2023,Italy,27,Female,Smartphone,1 Month
Premium,11,424,5/7/2023,Spain,49,Male,Tablet,1 Month
Basic,10,1017,6/7/2023,Spain,32,Female,Laptop,1 Month
Standard,13,303,5/7/2023,United States,38,Male,Smart TV,1 Month
Standard,11,1191,7/7/2023,Canada,39,Male,Smartphone,1 Month
Basic,14,1832,4/7/2023,United States,50,Female,Tablet,1 Month
Premium,10,719,6/7/2023,United States,51,Male,Tablet,1 Month
Basic,15,1840,5/7/2023,Canada,32,Female,Smart TV,1 Month
Standard,12,1633,7/7/2023,United Kingdom,45,Female,Smart TV,1 Month
Premium,12,347,4/7/2023,Australia,31,Female,Laptop,1 Month
Basic,12,683,6/7/2023,Germany,44,Male,Smartphone,1 Month
Premium,12,809,5/7/2023,France,30,Female,Tablet,1 Month
Basic,13,1879,7/7/2023,Brazil,44,Female,Tablet,1 Month
Standard,10,888,3/7/2023,Mexico,37,Male,Tablet,1 Month
Standard,14,422,6/7/2023,Spain,30,Female,Tablet,1 Month
Basic,12,1382,5/7/2023,Italy,31,Female,Smart TV,1 Month
Premium,15,1225,6/7/2023,Spain,31,Female,Laptop,1 Month
Basic,15,2102,6/7/2023,Spain,44,Male,Tablet,1 Month
Standard,10,1210,5/7/2023,United States,44,Female,Smart TV,1 Month
Premium,14,1610,5/7/2023,Canada,34,Male,Laptop,1 Month
Basic,12,585,6/7/2023,United States,42,Male,Laptop,1 Month
Premium,15,1212,7/7/2023,United States,33,Male,Smartphone,1 Month
Basic,11,1012,7/7/2023,Canada,35,Male,Smart TV,1 Month
Standard,15,277,6/7/2023,United Kingdom,34,Female,Laptop,1 Month
Standard,14,682,5/7/2023,Australia,47,Male,Tablet,1 Month
Basic,13,1916,6/7/2023,Germany,43,Female,Laptop,1 Month
Premium,13,1651,8/7/2023,France,43,Male,Smart TV,1 Month
Basic,13,1326,5/7/2023,Brazil,35,Female,Smartphone,1 Month
Standard,13,1270,6/7/2023,Mexico,39,Male,Tablet,1 Month
Premium,10,669,6/7/2023,Spain,39,Male,Tablet,1 Month
Basic,11,686,7/7/2023,Italy,49,Female,Smart TV,1 Month
Premium,14,1822,4/7/2023,Spain,30,Male,Tablet,1 Month
Basic,12,1644,5/7/2023,Spain,31,Female,Tablet,1 Month
Standard,12,1187,6/7/2023,United States,39,Male,Tablet,1 Month
Standard,14,352,6/7/2023,Canada,30,Female,Laptop,1 Month
Basic,13,1485,4/7/2023,United States,43,Female,Smartphone,1 Month
Premium,10,1066,5/7/2023,United States,29,Female,Smartphone,1 Month
Basic,14,492,5/7/2023,Canada,46,Male,Smart TV,1 Month
Standard,15,476,6/7/2023,United Kingdom,35,Male,Smartphone,1 Month
Premium,12,1403,3/7/2023,Australia,30,Male,Tablet,1 Month
Basic,12,142,7/7/2023,Germany,39,Female,Smart TV,1 Month
Premium,14,141,6/7/2023,France,41,Male,Laptop,1 Month
Basic,12,1351,5/7/2023,Brazil,27,Male,Smartphone,1 Month
Standard,15,1497,3/7/2023,Mexico,42,Male,Laptop,1 Month
Standard,11,1771,6/7/2023,Spain,45,Female,Tablet,1 Month
Basic,10,1893,7/7/2023,Italy,36,Female,Smart TV,1 Month
Premium,12,2145,6/7/2023,Spain,35,Male,Laptop,1 Month
Basic,13,1093,4/7/2023,Spain,38,Male,Smartphone,1 Month
Standard,14,667,6/7/2023,United States,41,Female,Smart TV,1 Month
Premium,10,630,6/7/2023,Canada,43,Male,Tablet,1 Month
Basic,13,890,6/7/2023,United States,44,Male,Tablet,1 Month
Basic,10,229,4/7/2023,United States,35,Male,Tablet,1 Month
Basic,13,1332,6/7/2023,Canada,39,Male,Laptop,1 Month
Standard,15,1269,5/7/2023,United Kingdom,43,Male,Smart TV,1 Month
Premium,10,2112,6/7/2023,Australia,36,Male,Smart TV,1 Month
Basic,11,2091,5/7/2023,Germany,49,Female,Laptop,1 Month
Basic,12,1082,8/7/2023,France,29,Female,Smartphone,1 Month
Premium,10,431,4/7/2023,Brazil,45,Male,Tablet,1 Month
Standard,11,1080,6/7/2023,Mexico,44,Female,Laptop,1 Month
Standard,11,1777,4/7/2023,Spain,40,Female,Smart TV,1 Month
Basic,15,855,8/7/2023,Italy,51,Female,Smart TV,1 Month
Premium,15,1619,5/7/2023,Spain,30,Female,Smart TV,1 Month
Standard,14,2012,8/7/2023,Spain,50,Male,Smart TV,1 Month
Basic,12,766,6/7/2023,United States,39,Male,Tablet,1 Month
Standard,11,1543,7/7/2023,Canada,51,Male,Tablet,1 Month
Premium,10,231,5/7/2023,United States,42,Male,Laptop,1 Month
Basic,12,260,7/7/2023,United States,34,Female,Tablet,1 Month
Premium,12,1890,6/7/2023,Canada,28,Male,Tablet,1 Month
Standard,15,512,7/7/2023,United Kingdom,43,Male,Tablet,1 Month
Basic,11,1541,6/7/2023,Australia,27,Female,Tablet,1 Month
Standard,13,215,8/7/2023,Germany,49,Female,Smart TV,1 Month
Premium,14,319,5/7/2023,France,35,Female,Laptop,1 Month
Basic,10,2007,6/7/2023,Brazil,34,Male,Tablet,1 Month
Standard,14,1496,5/7/2023,Mexico,28,Male,Smartphone,1 Month
Premium,15,587,7/7/2023,Spain,49,Female,Tablet,1 Month
Basic,12,1283,4/7/2023,Italy,51,Female,Tablet,1 Month
Premium,13,753,6/7/2023,Spain,36,Male,Laptop,1 Month
Basic,13,1765,6/7/2023,Spain,37,Male,Smart TV,1 Month
Standard,11,1059,7/7/2023,United States,48,Male,Laptop,1 Month
Standard,13,380,4/7/2023,Canada,45,Female,Smart TV,1 Month
Basic,11,1570,6/7/2023,United States,39,Male,Tablet,1 Month
Premium,14,507,5/7/2023,United States,39,Male,Smartphone,1 Month
Basic,15,465,7/7/2023,Canada,46,Female,Smart TV,1 Month
Standard,13,1000,6/7/2023,United Kingdom,30,Female,Smartphone,1 Month
Premium,10,1728,6/7/2023,Australia,32,Female,Smartphone,1 Month
Basic,11,294,5/7/2023,Germany,39,Male,Laptop,1 Month
Premium,15,325,7/7/2023,France,35,Female,Smartphone,1 Month
Basic,15,444,7/7/2023,Brazil,41,Female,Smartphone,1 Month
Standard,11,1085,8/7/2023,Mexico,32,Female,Smart TV,1 Month
Standard,14,337,6/7/2023,Spain,41,Female,Smart TV,1 Month
